Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2016-0262-P,2016-03-07,2016-04-18,2016-06-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,B Platoon,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,Black,Male,58,,Female,Black,40
Rank Initiated,2018-0253-D,2018-04-25,2018-05-01,2018-05-11,DI-2,Completed,Other,FOB - Field Operations Bureau,2nd District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,39,,,,
Rank Initiated,2016-0284-R,2016-04-15,2016-04-20,2017-10-10,DI-1,Completed,Other,FOB - Field Operations Bureau,5th District,5th,Task Force B,Off Duty,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,29,,,,
Public Initiated,2016-0659-P,2016-10-21,2016-10-11,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,32,,Male,Black,63
Public Initiated,2017-0198-P,2016-09-12,2017-04-13,2017-05-01,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,7th District,Day Watch,Squad 2,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,50,,Female,Black,67
Rank Initiated,2017-0711-R,2017-11-10,2017-12-19,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,31,,Female,Black,
Rank Initiated,2016-0468-R,2016-07-01,2016-07-06,2017-10-17,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,Unknown Working Status,Unknown Shift Hours,RULE 7: DEPT PROPERTY,PARAGRAPH 01 - USE OF DEPARTMENT EQUIPMENT,White,Female,35,,,,
Public Initiated,2018-0024-P,2017-12-16,2018-01-25,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,34,,Female,Black,21
Public Initiated,2016-0092-P,2016-02-07,2016-02-13,2017-08-25,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,DUI 2009-0665-R,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,35,,Male,Black,22
Public Initiated,2016-0277-P,2016-04-17,2016-04-18,2017-01-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,43,,Female,Black,51
Public Initiated,2016-0020-P,2015-12-29,2016-01-14,2016-09-07,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,46,,Female,Black,42
Public Initiated,2017-0342-P,2017-06-19,2017-06-21,2017-10-25,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,62,,Male,Black,33
Rank Initiated,2016-0670-R,2016-05-08,2016-10-18,2017-05-11,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,36,,,,
Public Initiated,2016-0084-P,2016-02-04,2016-02-08,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,Black,Male,58,,Female,Black,22
Rank Initiated,2016-0286-R,2016-01-18,2016-04-20,2018-02-19,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,Squad 2,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,34,,,,
Public Initiated,2016-0576-P,2016-08-15,2016-08-31,2017-05-02,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,33,,Female,Black,39
Rank Initiated,2017-0462-D,2017-07-10,2017-08-24,2017-09-08,DI-2,Completed,Other,FOB - Field Operations Bureau,,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Female,30,,,,
Public Initiated,2016-0667-P,2016-10-16,2016-10-24,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,C Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,Black,Female,41,,Female,Black,27
Public Initiated,2017-0667-P,2017-11-24,2017-11-27,2018-03-29,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Asian/Pacifi,Male,25,,Female,Black,48
Rank Initiated,2016-0347-D,2016-05-13,2016-05-13,2016-09-02,DI-2,Completed,Other,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,39,,,,
Rank Initiated,2016-0236-R,,2016-04-05,2016-08-04,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section,Crime Lab Admin,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,,,,,
Rank Initiated,2016-0610-R,2016-09-15,2016-09-15,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Paid Detail,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 08 - Use of Alchohol/Drugs On Duty,Black,Male,44,,,,
Public Initiated,2016-0457-N,2016-07-01,2016-07-14,2016-08-31,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,White,Male,28,,Female,Black,31
Public Initiated,2016-0664-P,2016-10-15,2016-10-17,2017-05-02,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,White,Male,36,,Female,Black,0
Public Initiated,2016-0779-P,2016-11-27,2016-12-02,2017-03-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,27,,Male,White,39
Public Initiated,2016-0258-N,2015-09-11,2016-04-19,2017-02-28,,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Child Abuse Platoon 1,,,NO VIOLATION OBSERVED,,Black,Male,49,,Female,Black,29
Public Initiated,2016-0166-P,2016-03-04,2016-03-10,2017-03-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,53,,Female,Black,30
Rank Initiated,2018-0336-R,2018-04-19,2018-06-01,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Narcotics,Staff,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Asian/Pacifi,Male,35,,,,
Public Initiated,2016-0674-P,2016-10-14,2016-10-24,2017-05-10,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,Female,Black,24
Public Initiated,2016-0043-P,,2016-01-25,2016-06-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,B Platoon,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 08 - Use of Alchohol/Drugs On Duty,White,Male,,,Female,Black,
Rank Initiated,2016-0701-R,2016-10-27,2016-11-09,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,28,,,,
Public Initiated,2017-0605-P,2017-10-01,2017-10-18,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,33,,Male,Black,28
Public Initiated,2017-0493-P,2017-08-21,2017-09-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,B Platoon,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,40,,Male,Black,
Public Initiated,2016-0541-P,2012-11-08,2016-08-19,2016-12-30,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Criminal Investigation Section,Criminal Investigation Section,Investigations,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,Black,Male,45,,Female,Black,29
Public Initiated,2018-0002-P,2017-12-30,2018-01-12,2018-05-10,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,35,,Male,Black,
Public Initiated,2018-0100-P,2018-02-06,2018-02-09,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,2nd District,Patrol,,,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,Black,Female,35,,,,
Rank Initiated,2018-0277-R,2018-05-07,2018-05-14,,DI-1,Active,Pending,ISB - Investigative Services Bureau,ISB Staff,ISB Staff,Adminstrative Staff,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,59,,,,
Rank Initiated,2017-0580-P,,2017-10-06,2017-11-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,,,Male,White,
Public Initiated,2016-0124-P,2016-02-22,2016-03-03,2016-09-07,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,39,,Male,Black,34
Rank Initiated,2016-0809-R,2016-11-27,2016-12-19,2017-05-04,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,37,,Male,Hispanic,27
Public Initiated,2016-0225-P,2016-03-31,2016-04-01,2016-11-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Female,47,,Male,Black,50
Public Initiated,2017-0440-P,2017-07-10,2017-08-16,2017-12-29,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,42,,Female,Black,35
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,41,,Male,Black,28
Rank Initiated,2016-0498-R,2016-07-26,2016-07-26,2017-01-30,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,White,Male,33,,,,
Public Initiated,2016-0216-P,2016-03-28,2016-03-29,2017-01-11,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,35,,Male,Black,46
Rank Initiated,2017-0509-R,2017-09-12,2017-09-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,,Off Duty,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Hispanic,Male,52,,,,
Public Initiated,2017-0318-P,2017-06-07,2017-06-07,2017-08-15,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,White,Male,33,,Male,Black,36
Public Initiated,2017-0640-P,2017-05-11,2017-11-09,2018-05-11,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,A Platoon,,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,45,,Male,,
Public Initiated,2016-0294-P,2016-04-16,2016-04-22,2016-06-03,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,Female,Black,44
Rank Initiated,2016-0061-R,2016-01-15,2016-02-06,2016-06-16,DI-1,Completed,Exonerated,,Crime Lab Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,Black,Female,31,,,,
Public Initiated,2018-0072-P,2017-10-03,2018-01-30,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Patrol,Regular Working,Between 11pm-7am,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,White,Male,49,,Female,,
Rank Initiated,2016-0134-R,2016-02-23,2016-02-23,2017-05-11,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,Female,Black,
Public Initiated,2018-0200-P,2018-11-11,2018-04-02,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Narcotics,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,35,,Male,Black,22
Rank Initiated,2017-0576-R,2017-04-08,2017-10-09,2018-04-05,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,53,,Male,Black,49
Rank Initiated,2018-0272-R,2018-05-10,2018-05-10,2018-06-15,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,40,,,,
Public Initiated,2017-0340-P,2017-06-19,2017-06-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,31,,F,B,49
Rank Initiated,2018-0144-R,2018-03-02,2018-03-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,28,,,,
Public Initiated,2017-0063-P,2017-01-30,2017-01-31,2017-05-24,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Hispanic,Male,52,,Female,Black,53
Public Initiated,2016-0294-P,2016-04-16,2016-04-22,2016-06-03,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,28,,Female,Black,44
Public Initiated,2017-0222-P,2017-04-17,2017-04-18,2017-06-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,43,,Male,Black,30
Public Initiated,2016-0713-P,,2016-10-21,2017-03-07,DI-1,Completed,Unfounded,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,White,Male,,,Male,Black,
Rank Initiated,2018-0113-R,2017-10-20,2018-02-15,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Asian/Pacifi,Male,34,,,,
Rank Initiated,2017-0585-R,2017-06-15,2017-10-10,2017-11-02,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,White,Male,25,,,,
Public Initiated,2017-0448-P,2017-08-20,2017-08-21,2017-12-29,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Male,40,,Female,Black,55
Rank Initiated,2017-0606-D,,2017-10-19,2017-10-31,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,1st Platoon,,,,,,Black,Female,,,,,
Public Initiated,2017-0496-P,2017-09-04,2017-09-07,2017-11-13,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,39,,Female,Black,34
Public Initiated,2016-0409-P,2009-01-07,2016-06-11,2017-08-25,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Special Investigations Division,Intelligence Section,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,29,,Female,Black,37
Public Initiated,2017-0518-P,2017-09-17,2017-09-18,2018-01-18,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,7th District,Patrol,AWP - Off Duty,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,43,,Female,Black,34
Public Initiated,2017-0234-P,2017-04-25,2017-05-02,2018-04-25,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,2nd District,D.I.U.,,Off Duty,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,50,,Male,Black,
Public Initiated,2016-0837-P,2016-12-21,2016-12-21,2018-01-12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,39,,Male,White,39
Public Initiated,2016-0687-P,2016-10-23,2016-11-03,2017-05-02,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,51,,Female,Black,29
Public Initiated,2016-0739-P,2016-10-15,2016-11-10,2017-04-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,36,,Female,White,77
Rank Initiated,2017-0460-R,2017-08-09,2017-08-29,2018-05-24,DI-1,Completed,Sustained,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,Sex Crimes Platoon 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,35,,,,
Public Initiated,2016-0182-P,2015-06-23,2016-03-22,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,37,,Male,Black,26
Public Initiated,2016-0679-P,2016-10-18,2016-10-20,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,White,Male,37,,Male,Black,34
Public Initiated,2017-0086-P,2017-02-07,2017-02-07,2017-04-27,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,40,,Female,Black,34
Public Initiated,2017-0246-N,2017-04-28,2017-05-02,2017-06-12,DI-1,Completed,NFIM,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 1,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Not Specifie,Male,29,,Female,Black,50
Public Initiated,2016-0582-P,2016-07-28,2016-08-31,2017-03-07,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Day Beats,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,40,,Male,Black,22
Public Initiated,2016-0711-P,2016-08-19,2016-10-31,2016-11-29,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,Female,Black,65
Public Initiated,2018-0103-P,,2018-02-12,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Hispanic,Female,,,Female,Black,
Public Initiated,2017-0604-P,2016-04-11,2017-10-18,2018-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,51,,Male,Black,
Public Initiated,2017-0465-P,2017-08-25,2017-08-25,2017-12-04,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Reserve Division,,,Paid Detail,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Male,60,,Female,,
Public Initiated,2016-0381-P,2016-04-10,2016-05-31,2017-04-03,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,33,,Female,Black,41
Public Initiated,2017-0327-P,2017-06-08,2017-06-12,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,33,,FEMALE,BLACK,40
Rank Initiated,2018-0207-R,2018-03-26,2018-04-01,2018-05-31,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,7th District,Day Watch,,,,,,Black,Female,36,,,,
